"ORF","Gene","RLS_Del_alpha","N","BY4742","N","p-value","RLS_Del_a","N","BY4741","N","p-value","RLS_Del.pooled","N","Pooled","N","p-value"
"YHR133C","NSG1",24.6,-5,22.4,-5,7.50E-001,0,0,0,0,0.00E+000,24.6,-5,22.4,-5,7.50E-001
"YIL136W","OM45",31.2,-35,25.4,-35,1.30E-001,19.2,-40,21.1,-20,3.70E-001,24.8,-75,23.8,-55,9.10E-001
,,,,,,,,,,,,,,,,
"YLR350W","ORM2",22.6,-10,22.7,-10,7.00E-001,0,0,0,0,0.00E+000,22.6,-10,22.7,-10,7.00E-001
"YOR130C","ORT1",27.8,-25,28.4,-25,3.80E-001,0,0,0,0,0.00E+000,27.8,-25,28.4,-25,3.80E-001
"YHR073W","OSH3",24.3,-15,25,-25,4.30E-001,0,0,0,0,0.00E+000,24.3,-15,25,-25,4.30E-001
"YHR179W","OYE2",18.2,-5,22.4,-5,4.50E-001,0,0,0,0,0.00E+000,18.2,-5,22.4,-5,4.50E-001
"YGR078C","PAC10",21.3,-35,26.2,-45,3.80E-002,0,0,0,0,0.00E+000,21.3,-35,26.2,-45,3.80E-002
"YMR174C","PAI3",28.3,-25,27.5,-35,9.90E-001,0,0,0,0,0.00E+000,28.3,-25,27.5,-35,9.90E-001
"YDR251W","PAM1",29.9,-20,26.9,-35,2.20E-001,0,0,0,0,0.00E+000,29.9,-20,26.9,-35,2.20E-001
"YLR461W","PAU4",32.1,-20,26.9,-30,8.30E-002,0,0,0,0,0.00E+000,32.1,-20,26.9,-30,8.30E-002
"YBR233W","PBP2",24,-10,29.6,-10,1.20E-001,0,0,0,0,0.00E+000,24,-10,29.6,-10,1.20E-001
"YKR097W","PCK1",20.2,-5,28.8,-5,2.60E-001,0,0,0,0,0.00E+000,20.2,-5,28.8,-5,2.60E-001
"YGR101W","PCP1",16.8,-5,32.8,-5,9.50E-002,0,0,0,0,0.00E+000,16.8,-5,32.8,-5,9.50E-002
"YER178W","PDA1",18.7,-40,23.2,-70,5.30E-003,0,0,0,0,0.00E+000,18.7,-40,23.2,-70,5.30E-003
"YGR087C","PDC6",24.5,-25,24.2,-45,7.60E-001,0,0,0,0,0.00E+000,24.5,-25,24.2,-45,7.60E-001
"YOR153W","PDR5",23.1,-10,29.3,-10,2.10E-001,0,0,0,0,0.00E+000,23.1,-10,29.3,-10,2.10E-001
"YDR323C","PEP7",24.5,-10,27.4,-10,6.20E-001,0,0,0,0,0.00E+000,24.5,-10,27.4,-10,6.20E-001
"YDR079W","PET100",25.2,-10,29.6,-10,3.10E-001,0,0,0,0,0.00E+000,25.2,-10,29.6,-10,3.10E-001
"YJR034W","PET191",23,-15,23.7,-15,5.50E-001,0,0,0,0,0.00E+000,23,-15,23.7,-15,5.50E-001
"YDR265W","PEX10",26.8,-25,28.1,-25,7.20E-001,0,0,0,0,0.00E+000,26.8,-25,28.1,-25,7.20E-001
"YHR160C","PEX18",22.6,-5,22.4,-5,7.90E-001,0,0,0,0,0.00E+000,22.6,-5,22.4,-5,7.90E-001
"YDR329C","PEX3",22.8,-5,29,-5,3.40E-001,0,0,0,0,0.00E+000,22.8,-5,29,-5,3.40E-001
"YDR244W","PEX5",27.3,-20,26.9,-35,8.70E-001,25.7,-20,28.7,-20,4.00E-001,26.5,-40,27.5,-55,6.50E-001
"YGR077C","PEX8",19.6,-5,32.8,-5,1.70E-001,0,0,0,0,0.00E+000,19.6,-5,32.8,-5,1.70E-001
"YDR281C","PHM6",29.7,-20,26.9,-35,3.00E-001,0,0,0,0,0.00E+000,29.7,-20,26.9,-35,3.00E-001
"YDR313C","PIB1",34.9,-55,27.9,-55,5.30E-004,28.4,-100,26.8,-120,3.40E-001,30.7,-155,27.2,-175,3.00E-003
"YHR034W","PIH1",19.2,-5,22.4,-5,4.00E-001,0,0,0,0,0.00E+000,19.2,-5,22.4,-5,4.00E-001
"YOR104W","PIN2",23.6,-5,32.8,-5,4.20E-001,0,0,0,0,0.00E+000,23.6,-5,32.8,-5,4.20E-001
"YDR276C","PMP3",28.6,-15,29.1,-20,9.90E-001,0,0,0,0,0.00E+000,28.6,-15,29.1,-20,9.90E-001
"YIL122W","POG1",21.1,-15,23.7,-15,2.70E-001,0,0,0,0,0.00E+000,21.1,-15,23.7,-15,2.70E-001
"YHR075C","PPE1",25.7,-15,25,-25,6.80E-001,0,0,0,0,0.00E+000,25.7,-15,25,-25,6.80E-001
"YDR075W","PPH3",23.8,-10,29.6,-10,4.40E-002,0,0,0,0,0.00E+000,23.8,-10,29.6,-10,4.40E-002
,,,,,,,,,,,,,,,,
"YDR300C","PRO1",28.8,-20,26.9,-35,9.50E-001,0,0,0,0,0.00E+000,28.8,-20,26.9,-35,9.50E-001
"YDR055W","PST1",25.3,-15,28.5,-15,2.00E-001,0,0,0,0,0.00E+000,25.3,-15,28.5,-15,2.00E-001
"YLR376C","PSY3",23.6,-15,23.7,-15,9.50E-001,0,0,0,0,0.00E+000,23.6,-15,23.7,-15,9.50E-001
"YER089C","PTC2",21.8,-15,23.7,-15,3.20E-001,0,0,0,0,0.00E+000,21.8,-15,23.7,-15,3.20E-001
"YHR076W","PTC7",24,-5,22.4,-5,9.40E-001,0,0,0,0,0.00E+000,24,-5,22.4,-5,9.40E-001
"YKR093W","PTR2",26.8,-20,26.1,-25,5.80E-001,26.2,-20,30.9,-20,9.30E-002,26.5,-40,28.2,-45,4.30E-001
"YHR037W","PUT2",22,-5,22.4,-5,1.00E+000,0,0,0,0,0.00E+000,22,-5,22.4,-5,1.00E+000
"YKR090W","PXL1",23.2,-5,28.8,-5,1.00E+000,0,0,0,0,0.00E+000,23.2,-5,28.8,-5,1.00E+000
"YER173W","RAD24",20,-10,22.7,-10,4.30E-001,0,0,0,0,0.00E+000,20,-10,22.7,-10,4.30E-001
"YDR076W","RAD55",12,-10,29.6,-10,6.60E-004,0,0,0,0,0.00E+000,12,-10,29.6,-10,6.60E-004
"YOR101W","RAS1",30.6,-60,26.7,-75,3.80E-002,21.5,-40,23.8,-40,4.20E-001,26.9,-100,25.7,-115,4.30E-001
"YHR157W","REC104",26.9,-15,25,-25,7.60E-001,0,0,0,0,0.00E+000,26.9,-15,25,-25,7.60E-001
"YBR260C","RGD1",24.6,-10,29.6,-10,1.60E-001,0,0,0,0,0.00E+000,24.6,-10,29.6,-10,1.60E-001
"YOR107W","RGS2",34.2,-25,25.3,-25,2.30E-003,23.1,-40,25.3,-60,1.30E-001,27.3,-65,25.3,-85,5.10E-001
"YLR453C","RIF2",23.7,-20,26.9,-30,2.70E-001,0,0,0,0,0.00E+000,23.7,-20,26.9,-30,2.70E-001
"YDR255C","RMD5",27.5,-15,27.1,-15,7.70E-001,0,0,0,0,0.00E+000,27.5,-15,27.1,-15,7.70E-001
"YDR257C","RMS1",27.5,-45,26.4,-45,8.30E-001,0,0,0,0,0.00E+000,27.5,-45,26.4,-45,8.30E-001
"YDR279W","RNH202",25.1,-15,29.1,-20,9.50E-002,0,0,0,0,0.00E+000,25.1,-15,29.1,-20,9.50E-002
"YGR070W","ROM1",24.9,-20,25.9,-65,4.80E-001,0,0,0,0,0.00E+000,24.9,-20,25.9,-65,4.80E-001
"YLR371W","ROM2",38,-50,25.5,-50,1.80E-008,29.3,-40,25.3,-60,4.70E-002,34.2,-90,25.4,-110,1.00E-008
"YBR229C","ROT2",23.1,-10,29.6,-10,1.40E-001,0,0,0,0,0.00E+000,23.1,-10,29.6,-10,1.40E-001
"YGR085C","RPL11B",27.6,-25,25,-45,6.10E-001,0,0,0,0,0.00E+000,27.6,-25,25,-45,6.10E-001
"YLR344W","RPL26A",26.8,-40,24.3,-65,2.80E-001,0,0,0,0,0.00E+000,26.8,-40,24.3,-65,2.80E-001
"YDL075W","RPL31A",34.8,-455,26,-375,6.00E-021,37.6,-120,25.7,-180,5.00E-017,35.4,575,25.9,555,1.80E-034
"YDR500C","RPL37B",31.5,-40,23.3,-55,1.20E-004,29.7,-80,24.4,-80,3.80E-003,30.3,-120,23.9,-135,6.90E-006
"YLR448W","RPL6B",29.6,-130,26,-170,2.90E-003,33.5,-40,25.3,-60,1.10E-004,30.5,-170,25.8,-230,9.80E-006
"YLR441C","RPS1A",29.9,-50,27,-70,3.70E-001,26,-40,25.3,-60,6.00E-001,28.1,-90,26.2,-130,7.10E-001
"YKR057W","RPS21A",28.5,-40,26.4,-95,5.90E-001,27.4,-60,26.4,-80,9.90E-001,27.9,-100,26.4,-175,7.60E-001
"YLR367W","RPS22B",26.4,-35,25,-75,8.30E-001,23.3,-40,25.3,-60,9.00E-002,24.7,-75,25.1,-135,2.90E-001
"YGR118W","RPS23A",26.8,-45,26.4,-65,3.40E-001,0,0,0,0,0.00E+000,26.8,-45,26.4,-65,3.40E-001
,,,,,,,,,,,,,,,,
"YHR021C","RPS27B",21.2,-35,27,-45,4.20E-003,0,0,0,0,0.00E+000,21.2,-35,27,-45,4.20E-003
"YOR167C","RPS28A",26.7,-35,26.4,-45,6.80E-001,0,0,0,0,0.00E+000,26.7,-35,26.4,-45,6.80E-001
"YLR388W","RPS29A",24.1,-40,24.9,-70,8.40E-001,19.7,-20,24.2,-20,9.00E-002,22.6,-60,24.7,-90,1.70E-001
"YOR182C","RPS30B",24.3,-15,28.8,-25,1.70E-001,0,0,0,0,0.00E+000,24.3,-15,28.8,-25,1.70E-001
"YHR038W","RRF1",23.8,-5,22.4,-5,6.40E-001,0,0,0,0,0.00E+000,23.8,-5,22.4,-5,6.40E-001
"YHR031C","RRM3",18.2,-25,25.7,-45,3.90E-004,22.8,-20,30.7,-40,4.70E-002,20.2,-45,28,-85,1.60E-004
"YDR083W","RRP8",29.5,-40,27.4,-50,5.80E-001,22.6,-40,21.1,-20,5.90E-001,26,-80,25.6,-70,9.60E-001
"YGR056W","RSC1",28,-25,25.3,-25,4.50E-001,0,0,0,0,0.00E+000,28,-25,25.3,-25,4.50E-001
"YLR357W","RSC2",20.4,-10,22.7,-10,5.40E-001,0,0,0,0,0.00E+000,20.4,-10,22.7,-10,5.40E-001
"YDR289C","RTT103",24.3,-15,29.1,-20,9.50E-002,0,0,0,0,0.00E+000,24.3,-15,29.1,-20,9.50E-002
"YHR154W","RTT107",18.3,-15,25,-25,4.20E-002,0,0,0,0,0.00E+000,18.3,-15,25,-25,4.20E-002
"YOR138C","RUP1",21.8,-5,32.8,-5,3.10E-001,0,0,0,0,0.00E+000,21.8,-5,32.8,-5,3.10E-001
"YDR129C","SAC6",14.7,-30,25.8,-60,2.40E-005,0,0,0,0,0.00E+000,14.7,-30,25.8,-60,2.40E-005
"YDR502C","SAM2",26.3,-35,24.5,-35,5.40E-001,0,0,0,0,0.00E+000,26.3,-35,24.5,-35,5.40E-001
"YHR103W","SBE22",24.4,-15,25,-25,7.90E-001,0,0,0,0,0.00E+000,24.4,-15,25,-25,7.90E-001
"YOR165W","SEY1",16.6,-5,32.8,-5,1.10E-001,0,0,0,0,0.00E+000,16.6,-5,32.8,-5,1.10E-001
"YOR140W","SFL1",23.9,-25,28.4,-25,8.50E-002,0,0,0,0,0.00E+000,23.9,-25,28.4,-25,8.50E-002
"YBR258C","SHG1",22.5,-10,29.6,-10,3.40E-002,0,0,0,0,0.00E+000,22.5,-10,29.6,-10,3.40E-002
"YBR263W","SHM1",28.5,-15,28.5,-15,6.90E-001,0,0,0,0,0.00E+000,28.5,-15,28.5,-15,6.90E-001
"YDR078C","SHU2",24.8,-10,29.6,-10,3.30E-001,0,0,0,0,0.00E+000,24.8,-10,29.6,-10,3.30E-001
"YGR112W","SHY1",14.8,-5,32.8,-5,5.60E-002,0,0,0,0,0.00E+000,14.8,-5,32.8,-5,5.60E-002
"YOR137C","SIA1",29.8,-25,28.4,-25,9.60E-001,0,0,0,0,0.00E+000,29.8,-25,28.4,-25,9.60E-001
"YMR175W","SIP18",18.6,-20,28.2,-30,5.60E-004,0,0,0,0,0.00E+000,18.6,-20,28.2,-30,5.60E-004
"YKR101W","SIR1",19.4,-5,28.8,-5,4.60E-001,0,0,0,0,0.00E+000,19.4,-5,28.8,-5,4.60E-001
"YDL047W","SIT4",25.9,-80,28.3,-85,2.30E-001,0,0,0,0,0.00E+000,25.9,-80,28.3,-85,2.30E-001
"YDR515W","SLF1",25.5,-20,24.4,-20,9.40E-001,0,0,0,0,0.00E+000,25.5,-20,24.4,-20,9.40E-001
"YHR030C","SLT2",24.2,-45,27,-45,8.60E-002,0,0,0,0,0.00E+000,24.2,-45,27,-45,8.60E-002
"YBR228W","SLX1",25.9,-35,24.1,-40,5.10E-001,0,0,0,0,0.00E+000,25.9,-35,24.1,-40,5.10E-001
"YGR081C","SLX9",22.2,-10,29.3,-10,1.80E-001,0,0,0,0,0.00E+000,22.2,-10,29.3,-10,1.80E-001
"YHR050W","SMF2",23.9,-25,26.3,-25,1.10E-001,0,0,0,0,0.00E+000,23.9,-25,26.3,-25,1.10E-001
"YDR477W","SNF1",38.8,-40,25.5,-40,2.40E-006,26.1,100,27,-120,3.50E-001,29.8,-140,26.6,-160,4.90E-002
,,,,,,,,,,,,,,,,
"YDR073W","SNF11",30.5,-30,28.4,-30,6.90E-001,0,0,0,0,0.00E+000,30.5,-30,28.4,-30,6.90E-001
"YHR163W","SOL3",28.9,-15,25,-25,7.50E-001,0,0,0,0,0.00E+000,28.9,-15,25,-25,7.50E-001
"YAL047C","SPC72",4,-5,28.8,-5,7.90E-003,0,0,0,0,0.00E+000,4,-5,28.8,-5,7.90E-003
"YHR136C","SPL2",15.6,-5,22.4,-5,1.30E-001,0,0,0,0,0.00E+000,15.6,-5,22.4,-5,1.30E-001
"YHR152W","SPO12",24.2,-5,22.4,-5,1.00E+000,0,0,0,0,0.00E+000,24.2,-5,22.4,-5,1.00E+000
"YHR014W","SPO13",28.3,-35,26.5,-45,4.10E-001,0,0,0,0,0.00E+000,28.3,-35,26.5,-45,4.10E-001
"YHR153C","SPO16",17,-5,22.4,-5,3.10E-001,0,0,0,0,0.00E+000,17,-5,22.4,-5,3.10E-001
"YDR104C","SPO71",27.3,-15,30.1,-20,3.90E-001,0,0,0,0,0.00E+000,27.3,-15,30.1,-20,3.90E-001
"YGR059W","SPR3",28.8,-25,25.3,-25,2.40E-001,0,0,0,0,0.00E+000,28.8,-25,25.3,-25,2.40E-001
"YHR139C","SPS100",27.5,-15,25,-25,9.60E-001,0,0,0,0,0.00E+000,27.5,-15,25,-25,9.60E-001
"YGR104C","SRB5",22.2,-5,32.8,-5,2.10E-001,0,0,0,0,0.00E+000,22.2,-5,32.8,-5,2.10E-001
"YKR091W","SRL3",18.4,-5,28.8,-5,2.50E-001,0,0,0,0,0.00E+000,18.4,-5,28.8,-5,2.50E-001
"YKR092C","SRP40",22.6,-25,24.2,-25,6.10E-001,0,0,0,0,0.00E+000,22.6,-25,24.2,-25,6.10E-001
"YDR293C","SSD1",26.7,-105,27.5,-105,4.90E-001,0,0,0,0,0.00E+000,26.7,-105,27.5,-105,4.90E-001
"YHR066W","SSF1",38.5,-20,24.6,-65,2.10E-003,27.4,-40,25.3,-60,3.30E-001,31.1,-60,24.9,-125,6.10E-003
"YDR312W","SSF2",22.3,-10,27.4,-10,4.70E-001,0,0,0,0,0.00E+000,22.3,-10,27.4,-10,4.70E-001
"YLR452C","SST2",31,-25,25.7,-25,6.80E-002,22.7,-40,21.1,-20,3.90E-001,25.9,-65,23.6,-45,3.00E-001
"YMR053C","STB2",29,-40,24.4,-40,3.10E-001,20.6,-60,21.2,-40,5.20E-001,24,-100,22.8,-80,8.80E-001
"YHR178W","STB5",20.2,-5,22.4,-5,4.00E-001,0,0,0,0,0.00E+000,20.2,-5,22.4,-5,4.00E-001
"YLR362W","STE11",22.7,-45,24.9,-50,1.60E-001,23.1,-20,30.9,-20,6.80E-003,22.8,-65,26.6,-70,1.20E-002
"YLR389C","STE23",24.2,-15,23.7,-15,9.50E-001,0,0,0,0,0.00E+000,24.2,-15,23.7,-15,9.50E-001
"YLR375W","STP3",24.8,-25,25.4,-35,2.40E-001,0,0,0,0,0.00E+000,24.8,-25,25.4,-35,2.40E-001
"YMR054W","STV1",24.1,-25,25.7,-40,4.60E-001,0,0,0,0,0.00E+000,24.1,-25,25.7,-40,4.60E-001
"YDR310C","SUM1",23.7,-10,27.4,-10,4.50E-001,0,0,0,0,0.00E+000,23.7,-10,27.4,-10,4.50E-001
"YDR297W","SUR2",29.8,-25,25.9,-25,6.80E-002,0,0,0,0,0.00E+000,29.8,-25,25.9,-25,6.80E-002
"YLR372W","SUR4",27.6,-35,24.5,-35,3.60E-001,0,0,0,0,0.00E+000,27.6,-35,24.5,-35,3.60E-001
"YDR320C","SWA2",26.2,-15,29.1,-20,2.90E-001,0,0,0,0,0.00E+000,26.2,-15,29.1,-20,2.90E-001
"YDR126W","SWF1",19.7,-20,27.8,-30,2.00E-003,0,0,0,0,0.00E+000,19.7,-20,27.8,-30,2.00E-003
"YDR260C","SWM1",31.1,-20,26.9,-35,1.90E-001,0,0,0,0,0.00E+000,31.1,-20,26.9,-35,1.90E-001
"YOR179C","SYC1",28.3,-25,28.4,-25,8.60E-001,0,0,0,0,0.00E+000,28.3,-25,28.4,-25,8.60E-001
,,,,,,,,,,,,,,,,
"YLR354C","TAL1",29.2,-45,24.5,-95,1.30E-002,0,0,0,0,0.00E+000,29.2,-45,24.5,-95,1.30E-002
"YBR223C","TDP1",22.4,-10,29.6,-10,1.80E-001,0,0,0,0,0.00E+000,22.4,-10,29.6,-10,1.80E-001
"YBR240C","THI2",32.5,-30,28.4,-30,3.40E-001,0,0,0,0,0.00E+000,32.5,-30,28.4,-30,3.40E-001
"YHR167W","THP2",19,-5,22.4,-5,3.10E-001,0,0,0,0,0.00E+000,19,-5,22.4,-5,3.10E-001
"YKR059W","TIF1",30.1,-75,26.7,-85,2.50E-002,27.2,120,23.8,100,6.60E-003,28.3,195,25.1,185,"1.eE-3"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"YDR105C","TMS1",23.9,-10,29.6,-10,1.50E-001,0,0,0,0,0.00E+000,23.9,-10,29.6,-10,1.50E-001
"YER175C","TMT1",23.8,-65,25,-75,1.10E-001,0,0,0,0,0.00E+000,23.8,-65,25,-75,1.10E-001
"YMR060C","TOM37",17.2,-5,28.8,-5,4.20E-001,0,0,0,0,0.00E+000,17.2,-5,28.8,-5,4.20E-001
"YHR117W","TOM71",24.6,-5,22.4,-5,6.90E-001,0,0,0,0,0.00E+000,24.6,-5,22.4,-5,6.90E-001
"YJR066W","TOR1",33.3,-630,25.3,-640,6.00E-040,34,-80,28.5,-100,3.50E-004,33.4,-710,25.7,-740,3.10E-042
"YGR096W","TPC1",21.7,-25,28.4,-25,1.40E-002,0,0,0,0,0.00E+000,21.7,-25,28.4,-25,1.40E-002
"YKR050W","TRK2",16.6,-5,29,-5,2.40E-001,0,0,0,0,0.00E+000,16.6,-5,29,-5,2.40E-001
"YDR120C","TRM1",22.5,-10,29.6,-10,1.50E-001,0,0,0,0,0.00E+000,22.5,-10,29.6,-10,1.50E-001
"YKR056W","TRM2",22.8,-10,27.4,-10,3.60E-001,0,0,0,0,0.00E+000,22.8,-10,27.4,-10,3.60E-001
"YHR106W","TRR2",26.3,-25,26.3,-25,9.10E-001,0,0,0,0,0.00E+000,26.3,-25,26.3,-25,9.10E-001
"YOR115C","TRS33",25.3,-10,29.3,-10,4.50E-001,0,0,0,0,0.00E+000,25.3,-10,29.3,-10,4.50E-001
"YLR425W","TUS1",17.6,-5,28.8,-5,2.10E-001,0,0,0,0,0.00E+000,17.6,-5,28.8,-5,2.10E-001
"YDR100W","TVP15",15.6,-10,29.6,-10,1.10E-003,0,0,0,0,0.00E+000,15.6,-10,29.6,-10,1.10E-003
"YDR084C","TVP23",21.4,-10,29.6,-10,1.20E-002,0,0,0,0,0.00E+000,21.4,-10,29.6,-10,1.20E-002
"YKR088C","TVP38",24.4,-5,28.8,-5,1.00E+000,0,0,0,0,0.00E+000,24.4,-5,28.8,-5,1.00E+000
"YGR080W","TWF1",17.4,-5,32.8,-5,5.60E-002,0,0,0,0,0.00E+000,17.4,-5,32.8,-5,5.60E-002
"YHR111W","UBA4",20,-5,22.4,-5,7.40E-001,0,0,0,0,0.00E+000,20,-5,22.4,-5,7.40E-001
"YDR092W","UBC13",22.2,-10,29.6,-10,1.60E-001,0,0,0,0,0.00E+000,22.2,-10,29.6,-10,1.60E-001
"YDR059C","UBC5",22.2,-10,29.6,-10,1.70E-001,0,0,0,0,0.00E+000,22.2,-10,29.6,-10,1.70E-001
"YKR098C","UBP11",21.6,-5,28.8,-5,5.70E-001,0,0,0,0,0.00E+000,21.6,-5,28.8,-5,5.70E-001
"YOR124C","UBP2",28.5,-15,27,-25,6.00E-001,0,0,0,0,0.00E+000,28.5,-15,27,-25,6.00E-001
"YML021C","UNG1",15.8,-5,28.8,-5,1.70E-001,0,0,0,0,0.00E+000,15.8,-5,28.8,-5,1.70E-001
"YGR072W","UPF3",24.6,-25,26.7,-25,2.50E-001,0,0,0,0,0.00E+000,24.6,-25,26.7,-25,2.50E-001
"YNL229C","URE2",31.9,-25,24.6,-45,1.20E-003,30.6,-40,25.3,-60,2.10E-002,31.1,-65,25,-105,3.70E-004
"YKR060W","UTP30",20.6,-5,29,-5,3.90E-001,0,0,0,0,0.00E+000,20.6,-5,29,-5,3.90E-001
,,,,,,,,,,,,,,,,
"YLR386W","VAC14",18.5,-10,22.7,-10,3.40E-001,0,0,0,0,0.00E+000,18.5,-10,22.7,-10,3.40E-001
"YOR106W","VAM3",14.4,-5,32.8,-5,3.20E-002,0,0,0,0,0.00E+000,14.4,-5,32.8,-5,3.20E-002
"YDR247W","VHS1",34,-20,25.9,-55,2.60E-002,25.4,-40,25.3,-60,4.00E-001,28.2,-60,25.6,-115,4.30E-001
"YLR373C","VID22",12.2,-10,22.7,-10,3.40E-002,0,0,0,0,0.00E+000,12.2,-10,22.7,-10,3.40E-002
"YGR105W","VMA21",10.7,-14,24.9,-45,2.70E-006,0,0,0,0,0.00E+000,10.7,-14,24.9,-45,2.70E-006
"YHR060W","VMA22",12.6,-5,22.4,-5,5.60E-002,0,0,0,0,0.00E+000,12.6,-5,22.4,-5,5.60E-002
"YLR447C","VMA6",12,-5,28.8,-5,3.20E-002,0,0,0,0,0.00E+000,12,-5,28.8,-5,3.20E-002
"YOR132W","VPS17",25.8,-5,32.8,-5,4.50E-001,0,0,0,0,0.00E+000,25.8,-5,32.8,-5,4.50E-001
"YLR360W","VPS38",29.3,-25,25.4,-35,5.50E-001,0,0,0,0,0.00E+000,29.3,-25,25.4,-35,5.50E-001
"YDR080W","VPS41",16.7,-10,29.6,-10,4.50E-003,0,0,0,0,0.00E+000,16.7,-10,29.6,-10,4.50E-003
"YJR044C","VPS55",26.8,-20,24.4,-20,7.60E-001,0,0,0,0,0.00E+000,26.8,-20,24.4,-20,7.60E-001
"YHR134W","WSS1",14.2,-5,22.4,-5,1.50E-001,0,0,0,0,0.00E+000,14.2,-5,22.4,-5,1.50E-001
"YHR161C","YAP1801",25.7,-15,25,-25,7.30E-001,0,0,0,0,0.00E+000,25.7,-15,25,-25,7.30E-001
"YDR259C","YAP6",24.1,-10,27.4,-10,5.70E-001,0,0,0,0,0.00E+000,24.1,-10,27.4,-10,5.70E-001
"YHR135C","YCK1",23.4,-5,22.4,-5,6.90E-001,0,0,0,0,0.00E+000,23.4,-5,22.4,-5,6.90E-001
"YDR057W","YOS9",26.2,-90,29,-90,9.50E-003,0,0,0,0,0.00E+000,26.2,-90,29,-90,9.50E-003
"YBR264C","YPT10",25,-30,26.5,-30,6.00E-001,0,0,0,0,0.00E+000,25,-30,26.5,-30,6.00E-001
"YHR105W","YPT35",28.8,-25,24.6,-65,4.10E-001,0,0,0,0,0.00E+000,28.8,-25,24.6,-65,4.10E-001
"YOR172W","YRM1",30.6,-25,28.4,-25,5.40E-001,0,0,0,0,0.00E+000,30.6,-25,28.4,-25,5.40E-001
"YOR162C","YRR1",29.7,-20,29,-35,7.10E-001,0,0,0,0,0.00E+000,29.7,-20,29,-35,7.10E-001
"YNR065C","YSN1",24.8,-5,28.8,-5,8.90E-001,0,0,0,0,0.00E+000,24.8,-5,28.8,-5,8.90E-001
"YDR285W","ZIP1",28.3,-20,27.2,-25,8.80E-001,21.2,-20,29.7,-20,2.70E-002,24.7,-40,28.3,-45,8.90E-002
"YAL058CA",,23.6,-5,28.8,-5,9.50E-001,0,0,0,0,0.00E+000,23.6,-5,28.8,-5,9.50E-001
"YBR224W",,24.3,-10,29.6,-10,1.70E-001,0,0,0,0,0.00E+000,24.3,-10,29.6,-10,1.70E-001
"YBR225W",,17.6,-10,29.6,-10,2.50E-002,0,0,0,0,0.00E+000,17.6,-10,29.6,-10,2.50E-002
"YBR226C",,31.8,-20,29.6,-20,4.90E-001,0,0,0,0,0.00E+000,31.8,-20,29.6,-20,4.90E-001
"YBR230C",,21.4,-10,29.6,-10,1.50E-001,0,0,0,0,0.00E+000,21.4,-10,29.6,-10,1.50E-001
"YBR235W",,24.3,-10,29.6,-10,6.80E-002,0,0,0,0,0.00E+000,24.3,-10,29.6,-10,6.80E-002
"YBR238C",,34.9,-20,27.9,-20,1.30E-002,33.9,-40,25.3,-60,1.90E-003,34.2,-60,25.9,-80,4.40E-005
"YBR239C",,24.1,-10,29.6,-10,3.60E-001,0,0,0,0,0.00E+000,24.1,-10,29.6,-10,3.60E-001
"YBR241C",,23.8,-10,29.6,-10,2.40E-001,0,0,0,0,0.00E+000,23.8,-10,29.6,-10,2.40E-001
"YBR242W",,27.7,-25,26.6,-30,5.70E-001,0,0,0,0,0.00E+000,27.7,-25,26.6,-30,5.70E-001
"YBR246W",,25,-10,29.6,-10,3.10E-001,0,0,0,0,0.00E+000,25,-10,29.6,-10,3.10E-001
"YBR250W",,25.5,-10,29.6,-10,2.70E-001,0,0,0,0,0.00E+000,25.5,-10,29.6,-10,2.70E-001
"YBR255W",,34.1,-20,25.5,-50,1.70E-003,31.6,-40,25.3,-60,2.10E-003,32.4,-60,25.3,-110,1.30E-005
"YBR259W",,27.1,-30,28.4,-30,4.50E-001,0,0,0,0,0.00E+000,27.1,-30,28.4,-30,4.50E-001
"YBR261C",,33.1,-20,27.9,-20,1.80E-001,0,0,0,0,0.00E+000,33.1,-20,27.9,-20,1.80E-001
"YBR266C",,37.3,-80,27.3,-80,1.40E-007,36.4,-40,24.8,-40,1.40E-006,37,-120,26.5,-120,1.50E-012
"YBR267W",,37.5,-50,27.3,-50,4.60E-005,36.5,-40,24.8,-40,1.90E-005,37.1,-90,26.2,-90,3.70E-009
"YCL006C",,31.5,-25,25.1,-55,3.20E-002,0,0,0,0,0.00E+000,31.5,-25,25.1,-55,3.20E-002
"YCL022C",,22,-5,28.8,-5,4.60E-001,0,0,0,0,0.00E+000,22,-5,28.8,-5,4.60E-001
"YCL023C",,31.7,-10,28.5,-10,4.30E-001,0,0,0,0,0.00E+000,31.7,-10,28.5,-10,4.30E-001
"YCL074W",,17.8,-5,28.8,-5,3.80E-001,0,0,0,0,0.00E+000,17.8,-5,28.8,-5,3.80E-001
"YCL075W",,28.4,-30,26.9,-30,7.50E-001,0,0,0,0,0.00E+000,28.4,-30,26.9,-30,7.50E-001
"YCL076W",,23,-5,28.8,-5,6.90E-001,0,0,0,0,0.00E+000,23,-5,28.8,-5,6.90E-001
"YDL061W",,25.5,-10,22.7,-10,4.30E-001,0,0,0,0,0.00E+000,25.5,-10,22.7,-10,4.30E-001
"YDR049W",,22.4,-10,29.6,-10,4.50E-002,0,0,0,0,0.00E+000,22.4,-10,29.6,-10,4.50E-002
"YDR051C",,22.1,-10,29.6,-10,5.30E-002,0,0,0,0,0.00E+000,22.1,-10,29.6,-10,5.30E-002
